period,CCALX,DFSTX,FSMDX,FSSNX,FTIHX,FXAIX,FXNAX,JVMRX,OTCKX,PHIYX,PTRQX,RERGX,RFDTX,RFETX,RFFTX,RFGTX,RFHTX,RFITX,RFJTX,RFKTX,RFTTX,RFUTX,RLLGX,RRCTX,UGLSX,VEIRX
2014-10-01,27.395729064941406,21.299386978149414,13.59871768951416,12.818675994873047,,59.66154479980469,9.467386245727539,12.403409004211426,10.99669075012207,5.866860389709473,10.359345436096191,35.152584075927734,8.65093994140625,8.843987464904785,8.852093696594238,8.945730209350586,9.055916786193848,8.859182357788086,7.78717565536499,11.200909614562988,7.297905921936035,,32.27531814575195,8.183850288391113,24.207679748535156,39.528743743896484
2014-11-01,26.867950439453125,21.374048233032227,13.95182991027832,12.833974838256836,,61.55264663696289,9.536312103271484,12.67862606048584,11.24397087097168,5.841155052185059,10.448509216308594,35.87907791137695,8.780364990234375,8.99797248840332,8.99929428100586,9.099047660827637,9.217748641967773,9.01378345489502,7.889193058013916,11.394986152648926,7.38566780090332,,32.58659362792969,8.300175666809082,24.981630325317383,40.50556182861328
2014-12-01,27.387605667114258,21.143266677856445,13.692880630493164,12.841621398925781,,60.933719635009766,9.531481742858887,12.484720230102539,10.45849323272705,5.632202625274658,10.413942337036133,33.87220764160156,8.351222038269043,8.515936851501465,8.544310569763184,8.612432479858398,8.75247859954834,8.536542892456055,7.494731426239014,10.85434627532959,6.9738545417785645,,29.5905704498291,7.903301239013672,21.670562744140625,38.7236213684082
2015-01-01,26.510684967041016,20.959930419921875,13.762791633605957,12.782044410705566,,59.561092376708984,9.75395679473877,12.649138450622559,10.932429313659668,5.837204456329346,10.679834365844727,34.81805419921875,8.63212776184082,8.809247970581055,8.801250457763672,8.884967803955078,8.9983549118042,8.798750877380371,7.810249328613281,11.112975120544434,7.323628902435303,,32.41782760620117,8.201027870178223,24.357030868530273,39.10953140258789
2015-02-01,28.09401512145996,22.34274673461914,14.523829460144043,13.537164688110352,,62.982887268066406,9.653611183166504,13.415947914123535,11.726667404174805,5.959715366363525,10.622539520263672,36.4352912902832,8.900995254516602,9.158266067504883,9.17665958404541,9.273685455322266,9.397193908691406,9.190427780151367,7.973259449005127,11.614852905273438,7.4652838706970215,,34.10066604614258,8.414227485656738,26.04988670349121,40.94105911254883
2015-03-01,28.80042839050293,22.693721771240234,14.531839370727539,13.781007766723633,,61.97993850708008,9.697837829589844,13.435281753540039,11.843463897705078,5.9225664138793945,10.664092063903809,36.51579284667969,8.816089630126953,9.067521095275879,9.079331398010254,9.176504135131836,9.292235374450684,9.0855131149292,7.902385234832764,11.485797882080078,7.394456386566162,,34.465877532958984,8.336052894592285,25.759855270385742,40.053043365478516
2015-04-01,28.483762741088867,22.211078643798828,14.403666496276855,13.427044868469238,,62.07263946533203,9.669169425964355,13.325735092163086,11.7578125,5.981155872344971,10.626884460449219,37.532958984375,8.95052433013916,9.221089363098145,9.239226341247559,9.336155891418457,9.46016788482666,9.253376960754395,7.994521617889404,11.68654727935791,7.486531734466553,7.926974296569824,35.08888244628906,8.449760437011719,26.18010902404785,41.0456657409668
2015-05-01,28.751707077026367,22.5979061126709,14.61194896697998,13.741679191589355,,63.37666320800781,9.631368637084961,13.622148513793945,11.960265159606934,5.996032238006592,10.590229034423828,37.60613250732422,8.97175121307373,9.283912658691406,9.315698623657227,9.419452667236328,9.544134140014648,9.337307929992676,7.994521617889404,11.79409408569336,7.479450702667236,7.996986389160156,36.642822265625,8.456865310668945,26.257055282592773,41.424346923828125
2015-06-01,29.75042724609375,22.773740768432617,14.203392028808594,13.678753852844238,,62.16163635253906,9.527629852294922,13.229080200195312,11.94469165802002,5.906367301940918,10.444833755493164,36.92558288574219,8.816089630126953,9.11638355255127,9.148850440979004,9.252860069274902,9.376201629638672,9.169445037841797,7.859861373901367,11.586172103881836,7.34487771987915,7.849181652069092,36.585533142089844,8.314733505249023,25.72433853149414,39.909645080566406
2015-07-01,29.9615421295166,22.536577224731445,14.416291236877441,13.687651634216309,,63.07927703857422,9.6051607131958,13.435281753540039,12.279516220092773,5.934469223022461,10.540594100952148,36.976802825927734,8.922223091125488,9.228070259094238,9.260083198547363,9.363921165466309,9.495153427124023,9.288347244262695,7.930735111236572,11.736736297607422,7.41570520401001,7.950311183929443,36.399349212646484,8.407121658325195,27.032455444335938,40.767852783203125
2015-08-01,28.28888511657715,21.408695220947266,13.657538414001465,12.82769775390625,,59.63961410522461,9.584542274475098,12.816678047180176,11.7033052444458,5.865610599517822,10.516280174255371,34.503387451171875,8.547219276428223,8.760385513305664,8.759537696838379,8.843318939208984,8.963369369506836,8.763778686523438,7.68267822265625,11.069957733154297,7.1890549659729,7.506898403167725,34.14363479614258,8.108641624450684,25.48165512084961,38.4616584777832
2015-09-01,27.241453170776367,20.534576416015625,13.16515827178955,12.206615447998047,,58.16057586669922,9.65496826171875,12.51382064819336,11.189388275146484,5.700206756591797,10.526638984680176,33.30327224731445,8.391559600830078,8.543992042541504,8.516217231750488,8.593428611755371,8.697476387023926,8.504992485046387,7.583454132080078,10.747323989868164,7.096978664398193,7.289082050323486,32.5825309753418,7.9807233810424805,24.90750503540039,37.69291305541992
2015-10-01,29.149574279785156,21.797332763671875,13.980411529541016,12.891397476196289,,62.734439849853516,9.649985313415527,13.319293022155762,11.929118156433105,5.886293411254883,10.559289932250977,35.22784423828125,8.816089630126953,9.053561210632324,9.058475494384766,9.155678749084473,9.278241157531738,9.071525573730469,7.881122589111328,11.464288711547852,7.366124629974365,7.771389961242676,33.706809997558594,8.343159675598145,27.458629608154297,41.07941436767578
2015-11-01,30.213241577148438,22.348630905151367,14.020772933959961,13.313411712646484,,63.26216506958008,9.639122009277344,13.525491714477539,12.022557258605957,5.767877101898193,10.517632484436035,35.11076736450195,8.8019380569458,9.060541152954102,9.079331398010254,9.176504135131836,9.299234390258789,9.092507362365723,7.852773666381836,11.49296760559082,7.337793350219727,7.786948204040527,34.279693603515625,8.3218412399292,27.517824172973633,41.20536804199219
